articleId,articleName,articleCode,cube,weightLbs,roomId,roomName,isActive,domestic,canada,international,local,carton,pbo,mattcp,bulky,crateFlag
955,Copier,V097,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
956,"Cot, Folding",V098,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
957,Credenza,V099,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
958,Crib,V100,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
959,Cushion,V101,1.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
960,Deck Plate,V102,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
961,Dehumidifier,V103,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
963,"Desk, Computer",V105,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
964,"Desk, Credenza",V106,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
965,"Desk, Office",V107,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
966,"Desk, Secretary",V108,35.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
967,"Desk, SM/Winthrop",V109,22.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
968,Desks w/Return,V110,35.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
971,Dishwasher,V113,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
973,Drafting Table,V115,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
974,"Dresser, Double",V116,40.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
975,"Dresser, Mirror",V117,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
976,"Dresser, Single",V118,30.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
977,"Dresser, Triple",V119,50.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
978,"Dresser, Vanity",V120,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
979,Dryer,V121,25.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
980,End Table,V122,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
981,Entertainment Ctr.,V123,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
982,Exec Desks,V124,35.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
983,Exercise Machine,V125,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
984,Exercycle,V126,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
985,Fan,V127,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
989,Fax,V131,5.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
990,File 2dr Lateral,V132,10.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
991,File 2dr Vertical,V133,8.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
992,File 3-4dr Lateral,V134,15.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
993,File 5dr Lateral,V135,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
994,File 5dr Vertical,V136,20.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
995,File Cabinets,V137,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
