tableName,id,name
STATE_ABBREV,619,NT
STATE_ABBREV,620,NU
STATE_ABBREV,621,NV
STATE_ABBREV,622,NY
STATE_ABBREV,623,OH
STATE_ABBREV,624,OK
STATE_ABBREV,625,ON
STATE_ABBREV,626,OR
STATE_ABBREV,627,PA
STATE_ABBREV,628,PE
STATE_ABBREV,629,PR
STATE_ABBREV,630,PW
STATE_ABBREV,631,QC
STATE_ABBREV,632,QL
STATE_ABBREV,633,RI
STATE_ABBREV,634,SA
STATE_ABBREV,635,SC
STATE_ABBREV,636,SD
STATE_ABBREV,637,SK
STATE_ABBREV,638,TN
STATE_ABBREV,639,TS
STATE_ABBREV,640,TX
STATE_ABBREV,641,US-Central
STATE_ABBREV,642,US-East
STATE_ABBREV,643,US-West
STATE_ABBREV,644,UT
STATE_ABBREV,645,VA
STATE_ABBREV,646,VI
STATE_ABBREV,647,VT
STATE_ABBREV,648,WA
STATE_ABBREV,649,WI
STATE_ABBREV,650,WV
STATE_ABBREV,651,WY
STATE_ABBREV,652,YK
STATE_ABBREV,653,YT
Pricing Tariff LOV,654,Local
Pricing Tariff LOV,655,PriceLock
Pricing Tariff LOV,656,PriceLock GRR
Pricing Tariff LOV,657,Blue Express
Pricing Tariff LOV,658,TPG
Pricing Tariff LOV,659,Allied Express
Pricing Tariff LOV,660,TPG GRR
Pricing Tariff LOV,661,400N
Pricing Tariff LOV,662,104G
Pricing Tariff LOV,663,Capacity Plus
Pricing Tariff LOV,664,Local/Intrastate
Pricing Tariff LOV,665,Truckload Express
Pricing Tariff LOV,666,TX Max4
Pricing Tariff LOV,667,UAS
Pricing Tariff LOV,668,NAVL-12A
Pricing Tariff LOV,669,ALLV-2A
Pricing Tariff LOV,670,CA Max4
Pricing Tariff LOV,671,Canada Govt.
Pricing Tariff LOV,672,Intra - 400N
Pricing Tariff LOV,673,Canada Non-Govt
Pricing Tariff LOV,674,Canada Intraprovincial
Pricing Tariff LOV,675,Canada Local
Pricing Tariff LOV,676,Auto Only
Pricing Tariff LOV,677,AVL
Estimate_Type,678,Binding
Estimate_Type,679,Non Binding
Estimate_Type,680,Not To Exceed
VALUATION_DEDUCTIBLE_LOV,681,Actual Cash Value
VALUATION_DEDUCTIBLE_LOV,682,Declared Value
VALUATION_DEDUCTIBLE_LOV,683,ECP - $0 Ded
VALUATION_DEDUCTIBLE_LOV,684,ECP - $250 Ded
VALUATION_DEDUCTIBLE_LOV,685,ECP - $500 Ded
VALUATION_DEDUCTIBLE_LOV,686,MVP - $0 Ded
VALUATION_DEDUCTIBLE_LOV,687,MVP - $250 Ded
VALUATION_DEDUCTIBLE_LOV,688,MVP - $500 Ded
VALUATION_DEDUCTIBLE_LOV,689,$0 Ded
VALUATION_DEDUCTIBLE_LOV,690,$250 Ded
VALUATION_DEDUCTIBLE_LOV,691,$500 Ded
VALUATION_DEDUCTIBLE_LOV,692,FVP $0 Deductible
VALUATION_DEDUCTIBLE_LOV,693,FVP $250 Deductible
VALUATION_DEDUCTIBLE_LOV,694,FVP $500 Deductible
VALUATION_BRACKETS_LOV,695,"$6,000"
VALUATION_BRACKETS_LOV,696,"$10,000"
VALUATION_BRACKETS_LOV,697,"$15,000"
VALUATION_BRACKETS_LOV,698,"$20,000"
VALUATION_BRACKETS_LOV,699,"$25,000"
VALUATION_BRACKETS_LOV,700,"$30,000"
VALUATION_BRACKETS_LOV,701,"$35,000"
VALUATION_BRACKETS_LOV,702,"$40,000"
VALUATION_BRACKETS_LOV,703,"$50,000"
VALUATION_BRACKETS_LOV,704,"$60,000"
VALUATION_BRACKETS_LOV,705,"$75,000"
VALUATION_BRACKETS_LOV,706,"$100,000"
VALUATION_BRACKETS_LOV,707,"$125,000"
VALUATION_BRACKETS_LOV,708,"$150,000"
VALUATION_BRACKETS_LOV,709,"$175,000"
VALUATION_BRACKETS_LOV,710,"$200,000"
VALUATION_BRACKETS_LOV,711,"$225,000"
VALUATION_BRACKETS_LOV,712,"$250,000"
VALUATION_BRACKETS_LOV,713,"Over $250,000"
VALUATION_BRACKETS_LOV,714,"$5,000"
Sirva_YM_LOV,715,Level 1
Sirva_YM_LOV,716,Level 2
Sirva_YM_LOV,717,Level 3
Sirva_YM_LOV,718,Level 4
Sirva_YM_LOV,719,Level 5
Sirva_YM_LOV,720,Level 6
Sirva_YM_LOV,721,Level 7
Sirva_YM_LOV,722,Level 8
Sirva_YM_LOV,723,Level 9
Sirva_YM_LOV,724,Level 10
Sirva_YM_LOV,725,Level 11
Sirva_YM_LOV,726,Level 12
Sirva_YM_LOV,727,Level 13
Sirva_YM_LOV,728,Level 14
Sirva_YM_LOV,729,Level 15
Time_LOV,730,Regular Time
Time_LOV,731,Time-And-A-Half
Time_LOV,732,Over Time
Time_LOV,733,Double Time
LineHaul_Mode_LOV,734,Distance Rate
LineHaul_Mode_LOV,735,Hourly Rate
LineHaul_Mode_LOV,736,Per Piece Rate
Payment_Method,737,AM
Payment_Method,738,AV
Payment_Method,739,CCK
Payment_Method,740,CHK
Payment_Method,741,CRN
Payment_Method,742,CSH
Payment_Method,743,DN
Payment_Method,744,MA
Payment_Method,745,MO
Payment_Method,746,NO
Payment_Method,747,PCK
Payment_Method,748,VI
SIRVA_QLAB_DENSITY,749,3
SIRVA_QLAB_DENSITY,750,3.25
SIRVA_QLAB_DENSITY,751,3.5
SIRVA_QLAB_DENSITY,752,3.75
SIRVA_QLAB_DENSITY,753,4
SIRVA_QLAB_DENSITY,754,4.25
SIRVA_QLAB_DENSITY,755,4.5
SIRVA_QLAB_DENSITY,756,4.75
SIRVA_QLAB_DENSITY,757,5
SIRVA_QLAB_DENSITY,758,5.25
SIRVA_QLAB_DENSITY,759,5.5
SIRVA_QLAB_DENSITY,760,5.75
SIRVA_QLAB_DENSITY,761,6
SIRVA_QLAB_DENSITY,762,6.25
SIRVA_QLAB_DENSITY,763,6.5
SIRVA_QLAB_DENSITY,764,6.75
SIRVA_QLAB_DENSITY,765,7
SIRVA_QLAB_DENSITY,766,7.25
SIRVA_QLAB_DENSITY,767,7.5
SIRVA_QLAB_DENSITY,768,7.75
SIRVA_QLAB_DENSITY,769,8
SIRVA_QLAB_DENSITY,770,8.25
SIRVA_QLAB_DENSITY,771,8.5
SIRVA_QLAB_DENSITY,772,8.75
SIRVA_QLAB_DENSITY,773,9
SIRVA_QLAB_DENSITY,774,9.25
SIRVA_QLAB_DENSITY,775,9.5
SIRVA_QLAB_DENSITY,776,9.75
SIRVA_QLAB_DENSITY,777,10
SIRVA_QLAB_DENSITY,778,10.25
SIRVA_QLAB_DENSITY,779,10.5
SIRVA_QLAB_DENSITY,780,10.75
SIRVA_QLAB_DENSITY,781,11
SIRVA_QLAB_DENSITY,782,11.25
SIRVA_QLAB_DENSITY,783,11.5
SIRVA_QLAB_DENSITY,784,11.75
SIRVA_QLAB_DENSITY,785,12
SIRVA_QLAB_DENSITY,786,12.25
SIRVA_QLAB_DENSITY,787,12.5
SIRVA_QLAB_DENSITY,788,12.75
SIRVA_QLAB_DENSITY,789,13
SIRVA_QLAB_DENSITY,790,13.25
