articleId,articleCode,articleName,articleRoomId,articleNameFr,cube,wgtlbs,domestic,canada,canadianGovt,maX3,maX4,grr,xGuaranteedPrice,international,local,tariff400N,auto,carton,pbo,mattcp,bulky,bulkyWgtAdd,isActive,canBulky,canBulkyWgtAdd,canWgtlbs,canArticleId,totalRooms,crateFlag,articleCreatorUserId,roomCreatorUserId,articleIsFavorite,additive,stsCode,tarriff104G,uasFlg,isCustomArticleForUser,roomEng,roomFr,id,roomId,roomName,weightLbs
"945","V086","Chaise, Plastic","71","","8","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"946","V087","Chaise, Wood","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"947","V088","Chest","71","","18","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"948","V089","Chest, Bachelor","71","","12","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"949","V090","Chest, Cedar","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"950","V091","Coat Rack, Large","71","","12","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"951","V092","Coat Rack, Small","71","","2","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"952","V094","Computer/Printer","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","23","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"953","V095","Conf. Table","71","","25","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"954","V096","Cooler","71","","2","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","15","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"955","V097","Copier","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"956","V098","Cot, Folding","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"957","V099","Credenza","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"958","V100","Crib","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"959","V101","Cushion","71","","1","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"960","V102","Deck Plate","71","","0","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"961","V103","Dehumidifier","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"963","V105","Desk, Computer","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"964","V106","Desk, Credenza","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"965","V107","Desk, Office","71","","30","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"966","V108","Desk, Secretary","71","","35","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"967","V109","Desk, SM/Winthrop","71","","22","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"968","V110","Desks w/Return","71","","35","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"971","V113","Dishwasher","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"973","V115","Drafting Table","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"974","V116","Dresser, Double","71","","40","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"975","V117","Dresser, Mirror","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"976","V118","Dresser, Single","71","","30","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","17","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"977","V119","Dresser, Triple","71","","50","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"978","V120","Dresser, Vanity","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"979","V121","Dryer","71","","25","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"980","V122","End Table","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"981","V123","Entertainment Ctr.","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"982","V124","Exec Desks","71","","35","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"983","V125","Exercise Machine","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"984","V126","Exercycle","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"985","V127","Fan","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"989","V131","Fax","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"990","V132","File 2dr Lateral","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"991","V133","File 2dr Vertical","71","","8","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"992","V134","File 3-4dr Lateral","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"993","V135","File 5dr Lateral","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"994","V136","File 5dr Vertical","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"995","V137","File Cabinets","71","","0","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"996","V138","Fireplace Equip.","71","","8","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","16","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1000","V142","Flat Bed Truck","71","","0","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1001","V143","Flat Files","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1002","V144","Folding Chair","71","","1","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1003","V145","Folding Table","71","","2","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1004","V146","Footlocker","71","","5","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1005","V147","Footstool","71","","2","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1006","V148","Fork Lift","71","","0","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","12","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1008","V150","Freezer, 10 cf or <","71","","30","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","15","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1009","V151","Freezer, 11 to 15 cf.","71","","45","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","1","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1010","V152","Freezer, 16 cf or >","71","","60","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","15","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1014","V156","Futon","71","","35","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1015","V157","Game Table","71","","15","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","14","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1016","V158","Garden Hose","71","","10","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
"1027","V169","Glider","71","","20","0","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false","false","0","","13","false","0","0","false","0","","true","true","0","Air","","0","71","Air","0"
